problemType, makespan, GRASP, diff
j6014_5, 59, 60, 1
j6040_2, 81, 82, 1
j6026_9, 65, 72, 7
j6043_5, 64, 66, 2
j601_7, 72, 71, -1
j6039_4, 92, 93, 1
j6018_1, 81, 93, 12
j6017_2, 69, 79, 10
j6036_7, 71, 72, 1
j6030_9, 98, 107, 9
j607_9, 44, 45, 1
j6020_7, 74, 75, 1
j6046_10, 88, 92, 4
j6027_10, 57, 58, 1
j6022_1, 64, 71, 7
j6021_6, 84, 92, 8
j6031_8, 75, 76, 1
j606_8, 72, 80, 8
j6037_6, 102, 107, 5
j6016_3, 53, 54, 1
j6038_5, 103, 115, 12
j6042_4, 103, 109, 6
j6027_8, 88, 93, 5
j6041_3, 98, 102, 4
j6034_1, 72, 70, -2
j6015_4, 75, 76, 1
j603_1, 60, 61, 1
j6043_1, 108, 110, 2
j6017_6, 69, 71, 2
j6036_3, 81, 82, 1
j6018_5, 80, 81, 1
j601_3, 68, 75, 7
j602_4, 78, 79, 1
j6014_1, 61, 66, 5
j6035_4, 72, 73, 1
j6018_10, 97, 100, 3
j6040_6, 69, 70, 1
j6023_4, 83, 86, 3
j6046_8, 75, 77, 2
j6025_10, 108, 120, 12
j6011_8, 69, 70, 1
j6020_3, 69, 70, 1
j6021_2, 108, 118, 10
j6044_10, 65, 66, 1
j6010_9, 73, 75, 2
j6047_9, 76, 77, 1
j6022_5, 76, 77, 1
j6041_7, 132, 144, 12
j603_5, 83, 84, 1
j6034_5, 80, 81, 1
j6019_4, 67, 68, 1
j609_10, 93, 97, 4
j6038_1, 73, 82, 9
j6037_2, 95, 93, -2
j6016_7, 82, 83, 1
j6039_1, 80, 81, 1
j6018_4, 71, 72, 1
j6017_7, 83, 95, 12
j6036_2, 75, 76, 1
j601_2, 68, 76, 8
j602_5, 54, 54, 0
j6035_5, 76, 79, 3
j6040_7, 68, 69, 1
j6040_10, 73, 74, 1
j6038_10, 66, 68, 2
j6046_9, 69, 73, 4
j6023_5, 72, 74, 2
j6011_9, 62, 63, 1
j6020_2, 78, 79, 1
j6021_3, 87, 95, 8
j6010_8, 65, 70, 5
j6022_4, 73, 77, 4
j6047_8, 71, 76, 5
j6041_6, 134, 140, 6
j603_4, 81, 84, 3
j6034_4, 83, 84, 1
j6015_1, 84, 86, 2
j6037_3, 139, 149, 10
j6016_6, 66, 67, 1
j6019_5, 73, 74, 1
j6021_10, 80, 78, -2
j6042_1, 83, 88, 5
j6014_4, 65, 71, 6
j6035_1, 78, 79, 1
j602_1, 65, 70, 5
j6040_3, 70, 71, 1
j6043_4, 75, 77, 2
j6026_8, 89, 92, 3
j601_6, 66, 64, -2
j6023_10, 68, 69, 1
j6017_3, 89, 93, 4
j6036_6, 76, 77, 1
j6039_5, 73, 76, 3
j6030_8, 63, 67, 4
j607_8, 66, 67, 1
j6020_6, 97, 98, 1
j6023_1, 75, 76, 1
j6021_7, 103, 104, 1
j6031_9, 86, 87, 1
j606_9, 64, 65, 1
j6019_1, 62, 64, 2
j6038_4, 58, 60, 2
j6037_7, 110, 121, 11
j6016_2, 64, 65, 1
j6027_9, 76, 77, 1
j6042_5, 73, 76, 3
j6041_2, 113, 120, 7
j6042_10, 87, 92, 5
j6015_5, 70, 71, 1
j6045_1, 96, 103, 7
j6011_6, 70, 71, 1
j6030_3, 82, 90, 8
j607_3, 62, 63, 1
j604_4, 65, 66, 1
j6012_1, 59, 60, 1
j6033_4, 81, 79, -2
j6046_6, 90, 99, 9
j6024_10, 66, 67, 1
j6040_8, 80, 81, 1
j6025_4, 108, 114, 6
j6019_10, 78, 81, 3
j6017_8, 85, 90, 5
j6026_3, 76, 72, -4
j6027_2, 74, 77, 3
j6028_1, 92, 93, 1
j608_10, 97, 98, 1
j6016_9, 54, 55, 1
j6024_5, 76, 77, 1
j6041_9, 131, 142, 11
j6047_7, 68, 69, 1
j6048_4, 62, 63, 1
j605_5, 108, 111, 3
j6032_5, 77, 78, 1
j6031_2, 74, 75, 1
j6010_7, 69, 75, 6
j6045_10, 114, 123, 9
j609_1, 87, 90, 3
j606_2, 67, 68, 1
j6012_5, 63, 64, 1
j6046_2, 78, 83, 5
j6045_5, 106, 111, 5
j6020_9, 74, 75, 1
j608_4, 64, 65, 1
j607_7, 89, 90, 1
j6011_2, 61, 62, 1
j6030_7, 86, 87, 1
j6047_10, 66, 70, 4
j6036_9, 86, 87, 1
j601_9, 85, 91, 6
j6026_7, 72, 73, 1
j6029_4, 134, 147, 13
j6024_1, 65, 66, 1
j6028_5, 71, 72, 1
j6027_6, 64, 65, 1
j6037_8, 93, 98, 5
j606_6, 55, 58, 3
j609_5, 85, 88, 3
j6031_6, 72, 73, 1
j6010_3, 72, 75, 3
j6021_8, 110, 112, 2
j6044_4, 77, 78, 1
j6026_10, 85, 90, 5
j6047_3, 69, 74, 5
j6032_1, 69, 70, 1
j6013_4, 103, 107, 4
j605_1, 76, 91, 15
j6012_4, 69, 70, 1
j6033_1, 105, 110, 5
j604_1, 84, 85, 1
j6046_3, 79, 86, 7
j6020_8, 65, 66, 1
j6045_4, 108, 108, 0
j607_6, 65, 66, 1
j608_5, 83, 84, 1
j6011_3, 76, 77, 1
j6030_6, 68, 74, 6
j6036_8, 69, 70, 1
j601_8, 75, 76, 1
j6022_10, 70, 73, 3
j6029_5, 110, 126, 16
j6026_6, 74, 82, 8
j6025_1, 114, 120, 6
j6043_10, 78, 79, 1
j6027_7, 83, 84, 1
j6028_4, 84, 85, 1
j6037_9, 96, 99, 3
j609_4, 87, 95, 8
j606_7, 61, 66, 5
j6031_7, 76, 77, 1
j6010_2, 62, 68, 6
j6044_5, 74, 75, 1
j6021_9, 89, 93, 4
j6047_2, 66, 68, 2
j6048_1, 71, 72, 1
j6013_5, 97, 103, 6
j6011_7, 70, 71, 1
j6030_2, 70, 72, 2
j608_1, 64, 65, 1
j607_2, 85, 86, 1
j604_5, 75, 76, 1
j6039_10, 74, 75, 1
j6033_5, 108, 112, 4
j6046_7, 78, 81, 3
j6025_5, 98, 95, -3
j6040_9, 90, 91, 1
j6041_10, 111, 116, 5
j6017_9, 76, 77, 1
j6026_2, 66, 75, 9
j6029_1, 103, 111, 8
j6027_3, 76, 80, 4
j6020_10, 70, 71, 1
j6016_8, 68, 69, 1
j6041_8, 135, 144, 9
j6024_4, 78, 79, 1
j6048_5, 101, 102, 1
j6047_6, 76, 79, 3
j605_4, 72, 75, 3
j6032_4, 56, 57, 1
j6013_1, 112, 122, 10
j6031_3, 66, 67, 1
j6010_6, 67, 73, 6
j606_3, 72, 73, 1
j6044_1, 84, 85, 1
j604_2, 60, 61, 1
j6012_7, 71, 72, 1
j6033_2, 100, 108, 8
j6030_5, 76, 78, 2
j607_5, 71, 72, 1
j608_6, 56, 57, 1
j6011_10, 58, 60, 2
j6045_7, 122, 127, 5
j6029_6, 154, 173, 19
j6026_5, 61, 63, 2
j6043_9, 70, 74, 4
j6039_8, 77, 78, 1
j6014_9, 61, 64, 3
j6025_2, 98, 108, 10
j6024_3, 67, 68, 1
j6015_8, 79, 80, 1
j6038_9, 66, 68, 2
j6042_8, 82, 87, 5
j6027_4, 60, 61, 1
j6028_7, 75, 76, 1
j6044_6, 81, 82, 1
j6031_4, 68, 69, 1
j6010_1, 85, 95, 10
j609_7, 109, 114, 5
j606_4, 67, 72, 5
j605_3, 80, 77, -3
j6035_10, 71, 72, 1
j6032_3, 85, 86, 1
j6013_6, 94, 98, 4
j6047_1, 75, 76, 1
j6048_2, 87, 88, 1
j608_2, 61, 62, 1
j607_1, 77, 78, 1
j6011_4, 69, 70, 1
j6030_1, 70, 78, 8
j6045_3, 143, 150, 7
j602_10, 69, 69, 0
j6023_8, 72, 73, 1
j6046_4, 74, 74, 0
j6037_10, 96, 106, 10
j6012_3, 75, 76, 1
j6033_6, 75, 74, -1
j604_6, 71, 72, 1
j602_8, 66, 70, 4
j6035_8, 78, 82, 4
j6025_6, 112, 118, 6
j6026_1, 80, 81, 1
j6029_2, 133, 144, 11
j6018_9, 69, 70, 1
j6019_8, 87, 88, 1
j6028_3, 72, 73, 1
j6024_7, 68, 69, 1
j603_9, 67, 64, -3
j6034_9, 77, 84, 7
j6032_7, 76, 77, 1
j6013_2, 106, 120, 14
j605_7, 75, 80, 5
j6048_6, 66, 67, 1
j6047_5, 87, 92, 5
j6022_9, 65, 66, 1
j6044_2, 68, 69, 1
j6013_10, 117, 124, 7
j609_3, 100, 107, 7
j6010_5, 79, 85, 6
j608_3, 79, 80, 1
j6011_5, 65, 67, 2
j6045_2, 144, 149, 5
j6046_5, 91, 95, 4
j6023_9, 64, 65, 1
j6012_2, 58, 59, 1
j6033_7, 78, 82, 4
j604_7, 67, 68, 1
j602_9, 65, 66, 1
j6035_9, 76, 74, -2
j6025_7, 90, 92, 2
j6017_10, 72, 74, 2
j6029_3, 121, 139, 18
j6018_8, 78, 79, 1
